"Intent,""Year"",""Age Group"",""Sex"",""Deaths"",""Population"",""Crude Rate"",""Age-Adjusted Rate"",""Years of Potential Life Lost"""
"Unintentional,""2023"",""0 to 4"",""Males"",""30"",""201,052"",""14.92"",""--"",""1,912"""
"Unintentional,""2023"",""0 to 4"",""Females"",""24"",""192,479"",""12.47"",""--"",""1,534"""
"Unintentional,""2023"",""5 to 9"",""Males"",""17**"",""222,723"",""7.63**"",""--"",""984"""
"Unintentional,""2023"",""5 to 9"",""Females"",""--"",""213,276"",""--"",""--"",""--"""
"Unintentional,""2023"",""10 to 14"",""Males"",""20**"",""232,741"",""8.59**"",""--"",""1,045"""
"Unintentional,""2023"",""10 to 14"",""Females"",""13**"",""223,348"",""5.82**"",""--"",""689"""
"Unintentional,""2023"",""15 to 19"",""Males"",""84"",""255,240"",""32.91"",""--"",""3,968"""
"Unintentional,""2023"",""15 to 19"",""Females"",""49"",""241,446"",""20.29"",""--"",""2,325"""
"Unintentional,""2023"",""20 to 24"",""Males"",""200"",""260,351"",""76.82"",""--"",""8,542"""
"Unintentional,""2023"",""20 to 24"",""Females"",""61"",""244,777"",""24.92"",""--"",""2,602"""
"Unintentional,""2023"",""25 to 29"",""Males"",""327"",""262,910"",""124.38"",""--"",""12,388"""
"Unintentional,""2023"",""25 to 29"",""Females"",""75"",""245,200"",""30.59"",""--"",""2,855"""
"Unintentional,""2023"",""30 to 34"",""Males"",""385"",""267,887"",""143.72"",""--"",""12,687"""
"Unintentional,""2023"",""30 to 34"",""Females"",""126"",""251,032"",""50.19"",""--"",""4,127"""
"Unintentional,""2023"",""35 to 39"",""Males"",""405"",""247,289"",""163.78"",""--"",""11,384"""
"Unintentional,""2023"",""35 to 39"",""Females"",""104"",""231,656"",""44.89"",""--"",""2,912"""
"Unintentional,""2023"",""40 to 44"",""Males"",""335"",""236,928"",""141.39"",""--"",""7,678"""
"Unintentional,""2023"",""40 to 44"",""Females"",""100"",""228,004"",""43.86"",""--"",""2,285"""
"Unintentional,""2023"",""45 to 49"",""Males"",""273"",""212,106"",""128.71"",""--"",""4,926"""
"Unintentional,""2023"",""45 to 49"",""Females"",""100"",""210,611"",""47.48"",""--"",""1,813"""
"Unintentional,""2023"",""50 to 54"",""Males"",""303"",""217,371"",""139.39"",""--"",""3,925"""
"Unintentional,""2023"",""50 to 54"",""Females"",""111"",""218,820"",""50.73"",""--"",""1,430"""
"Unintentional,""2023"",""55 to 59"",""Males"",""331"",""209,587"",""157.93"",""--"",""2,594"""
"Unintentional,""2023"",""55 to 59"",""Females"",""105"",""217,192"",""48.34"",""--"",""848"""
"Unintentional,""2023"",""60 to 64"",""Males"",""339"",""218,673"",""155.03"",""--"",""1,023"""
"Unintentional,""2023"",""60 to 64"",""Females"",""120"",""234,126"",""51.25"",""--"",""365"""
"Unintentional,""2023"",""65 to 69"",""Males"",""256"",""202,320"",""126.53"",""--"",""0"""
"Unintentional,""2023"",""65 to 69"",""Females"",""103"",""227,553"",""45.26"",""--"",""0"""
"Unintentional,""2023"",""70 to 74"",""Males"",""252"",""173,713"",""145.07"",""--"",""0"""
"Unintentional,""2023"",""70 to 74"",""Females"",""125"",""201,350"",""62.08"",""--"",""0"""
"Unintentional,""2023"",""75 to 79"",""Males"",""165"",""138,340"",""119.27"",""--"",""0"""
"Unintentional,""2023"",""75 to 79"",""Females"",""138"",""158,362"",""87.14"",""--"",""0"""
"Unintentional,""2023"",""80 to 84"",""Males"",""209"",""84,358"",""247.75"",""--"",""0"""
"Unintentional,""2023"",""80 to 84"",""Females"",""159"",""99,398"",""159.96"",""--"",""0"""
"Unintentional,""2023"",""85+"",""Males"",""301"",""64,140"",""469.29"",""--"",""0"""
"Unintentional,""2023"",""85+"",""Females"",""354"",""84,985"",""416.54"",""--"",""0"""
"Unintentional,""2022"",""0 to 4"",""Males"",""44"",""202,080"",""21.77"",""--"",""2,800"""
"Unintentional,""2022"",""0 to 4"",""Females"",""25"",""193,928"",""12.89"",""--"",""1,598"""
"Unintentional,""2022"",""5 to 9"",""Males"",""10**"",""224,935"",""4.45**"",""--"",""589"""
"Unintentional,""2022"",""5 to 9"",""Females"",""--"",""215,504"",""--"",""--"",""--"""
"Unintentional,""2022"",""10 to 14"",""Males"",""14**"",""237,610"",""5.89**"",""--"",""732"""
"Unintentional,""2022"",""10 to 14"",""Females"",""11**"",""227,292"",""4.84**"",""--"",""577"""
"Unintentional,""2022"",""15 to 19"",""Males"",""103"",""251,076"",""41.02"",""--"",""4,863"""
"Unintentional,""2022"",""15 to 19"",""Females"",""41"",""237,829"",""17.24"",""--"",""1,939"""
"Unintentional,""2022"",""20 to 24"",""Males"",""211"",""257,155"",""82.05"",""--"",""9,037"""
"Unintentional,""2022"",""20 to 24"",""Females"",""62"",""241,970"",""25.62"",""--"",""2,677"""
"Unintentional,""2022"",""25 to 29"",""Males"",""309"",""261,684"",""118.08"",""--"",""11,665"""
"Unintentional,""2022"",""25 to 29"",""Females"",""96"",""243,917"",""39.36"",""--"",""3,632"""
"Unintentional,""2022"",""30 to 34"",""Males"",""379"",""263,709"",""143.72"",""--"",""12,529"""
"Unintentional,""2022"",""30 to 34"",""Females"",""135"",""247,826"",""54.47"",""--"",""4,498"""
"Unintentional,""2022"",""35 to 39"",""Males"",""406"",""244,550"",""166.02"",""--"",""11,388"""
"Unintentional,""2022"",""35 to 39"",""Females"",""119"",""229,345"",""51.89"",""--"",""3,324"""
"Unintentional,""2022"",""40 to 44"",""Males"",""339"",""231,833"",""146.23"",""--"",""7,800"""
"Unintentional,""2022"",""40 to 44"",""Females"",""90"",""223,985"",""40.18"",""--"",""2,065"""
"Unintentional,""2022"",""45 to 49"",""Males"",""312"",""210,329"",""148.34"",""--"",""5,618"""
"Unintentional,""2022"",""45 to 49"",""Females"",""63"",""208,994"",""30.14"",""--"",""1,143"""
"Unintentional,""2022"",""50 to 54"",""Males"",""316"",""217,356"",""145.38"",""--"",""4,130"""
"Unintentional,""2022"",""50 to 54"",""Females"",""90"",""218,221"",""41.24"",""--"",""1,164"""
"Unintentional,""2022"",""55 to 59"",""Males"",""332"",""211,883"",""156.69"",""--"",""2,655"""
"Unintentional,""2022"",""55 to 59"",""Females"",""120"",""220,341"",""54.46"",""--"",""978"""
"Unintentional,""2022"",""60 to 64"",""Males"",""318"",""217,501"",""146.21"",""--"",""934"""
"Unintentional,""2022"",""60 to 64"",""Females"",""131"",""233,666"",""56.06"",""--"",""413"""
"Unintentional,""2022"",""65 to 69"",""Males"",""225"",""198,297"",""113.47"",""--"",""0"""
"Unintentional,""2022"",""65 to 69"",""Females"",""117"",""223,871"",""52.26"",""--"",""0"""
"Unintentional,""2022"",""70 to 74"",""Males"",""196"",""172,953"",""113.33"",""--"",""0"""
"Unintentional,""2022"",""70 to 74"",""Females"",""111"",""198,885"",""55.81"",""--"",""0"""
"Unintentional,""2022"",""75 to 79"",""Males"",""184"",""133,042"",""138.30"",""--"",""0"""
"Unintentional,""2022"",""75 to 79"",""Females"",""123"",""151,118"",""81.39"",""--"",""0"""
"Unintentional,""2022"",""80 to 84"",""Males"",""167"",""78,392"",""213.03"",""--"",""0"""
"Unintentional,""2022"",""80 to 84"",""Females"",""127"",""92,190"",""137.76"",""--"",""0"""
"Unintentional,""2022"",""85+"",""Males"",""257"",""60,517"",""424.67"",""--"",""0"""
"Unintentional,""2022"",""85+"",""Females"",""339"",""81,900"",""413.92"",""--"",""0"""
"Unintentional,""2021"",""0 to 4"",""Males"",""36"",""202,601"",""17.77"",""--"",""2,294"""
"Unintentional,""2021"",""0 to 4"",""Females"",""37"",""194,783"",""19.00"",""--"",""2,351"""
"Unintentional,""2021"",""5 to 9"",""Males"",""10**"",""225,260"",""4.44**"",""--"",""581"""
"Unintentional,""2021"",""5 to 9"",""Females"",""11**"",""215,472"",""5.11**"",""--"",""639"""
"Unintentional,""2021"",""10 to 14"",""Males"",""17**"",""241,435"",""7.04**"",""--"",""894"""
"Unintentional,""2021"",""10 to 14"",""Females"",""12**"",""230,872"",""5.20**"",""--"",""632"""
"Unintentional,""2021"",""15 to 19"",""Males"",""133"",""243,262"",""54.67"",""--"",""6,315"""
"Unintentional,""2021"",""15 to 19"",""Females"",""47"",""229,936"",""20.44"",""--"",""2,228"""
"Unintentional,""2021"",""20 to 24"",""Males"",""256"",""252,146"",""101.53"",""--"",""10,970"""
"Unintentional,""2021"",""20 to 24"",""Females"",""108"",""236,691"",""45.63"",""--"",""4,616"""
"Unintentional,""2021"",""25 to 29"",""Males"",""354"",""259,657"",""136.33"",""--"",""13,336"""
"Unintentional,""2021"",""25 to 29"",""Females"",""113"",""241,898"",""46.71"",""--"",""4,279"""
"Unintentional,""2021"",""30 to 34"",""Males"",""418"",""257,323"",""162.44"",""--"",""13,825"""
"Unintentional,""2021"",""30 to 34"",""Females"",""116"",""240,373"",""48.26"",""--"",""3,831"""
"Unintentional,""2021"",""35 to 39"",""Males"",""378"",""241,963"",""156.22"",""--"",""10,625"""
"Unintentional,""2021"",""35 to 39"",""Females"",""129"",""227,373"",""56.74"",""--"",""3,643"""
"Unintentional,""2021"",""40 to 44"",""Males"",""312"",""226,049"",""138.02"",""--"",""7,176"""
"Unintentional,""2021"",""40 to 44"",""Females"",""114"",""218,700"",""52.13"",""--"",""2,642"""
"Unintentional,""2021"",""45 to 49"",""Males"",""254"",""210,099"",""120.90"",""--"",""4,586"""
"Unintentional,""2021"",""45 to 49"",""Females"",""91"",""208,465"",""43.65"",""--"",""1,636"""
"Unintentional,""2021"",""50 to 54"",""Males"",""316"",""215,318"",""146.76"",""--"",""4,105"""
"Unintentional,""2021"",""50 to 54"",""Females"",""123"",""215,251"",""57.14"",""--"",""1,592"""
"Unintentional,""2021"",""55 to 59"",""Males"",""296"",""215,129"",""137.59"",""--"",""2,380"""
"Unintentional,""2021"",""55 to 59"",""Females"",""136"",""223,499"",""60.85"",""--"",""1,057"""
"Unintentional,""2021"",""60 to 64"",""Males"",""291"",""214,782"",""135.49"",""--"",""886"""
"Unintentional,""2021"",""60 to 64"",""Females"",""109"",""232,270"",""46.93"",""--"",""326"""
"Unintentional,""2021"",""65 to 69"",""Males"",""225"",""193,654"",""116.19"",""--"",""0"""
"Unintentional,""2021"",""65 to 69"",""Females"",""83"",""219,101"",""37.88"",""--"",""0"""
"Unintentional,""2021"",""70 to 74"",""Males"",""160"",""177,237"",""90.28"",""--"",""0"""
"Unintentional,""2021"",""70 to 74"",""Females"",""102"",""200,244"",""50.94"",""--"",""0"""
"Unintentional,""2021"",""75 to 79"",""Males"",""154"",""121,258"",""127.00"",""--"",""0"""
"Unintentional,""2021"",""75 to 79"",""Females"",""124"",""138,070"",""89.81"",""--"",""0"""
"Unintentional,""2021"",""80 to 84"",""Males"",""141"",""75,231"",""187.42"",""--"",""0"""
"Unintentional,""2021"",""80 to 84"",""Females"",""132"",""87,616"",""150.66"",""--"",""0"""
"Unintentional,""2021"",""85+"",""Males"",""274"",""58,688"",""466.88"",""--"",""0"""
"Unintentional,""2021"",""85+"",""Females"",""348"",""80,781"",""430.79"",""--"",""0"""
"Unintentional,""2020"",""0 to 4"",""Males"",""32"",""206,040"",""15.53"",""--"",""2,038"""
"Unintentional,""2020"",""0 to 4"",""Females"",""20**"",""197,456"",""10.13**"",""--"",""1,268"""
"Unintentional,""2020"",""5 to 9"",""Males"",""13**"",""224,138"",""5.80**"",""--"",""751"""
"Unintentional,""2020"",""5 to 9"",""Females"",""--"",""214,736"",""--"",""--"",""--"""
"Unintentional,""2020"",""10 to 14"",""Males"",""10**"",""243,583"",""4.11**"",""--"",""526"""
"Unintentional,""2020"",""10 to 14"",""Females"",""13**"",""232,926"",""5.58**"",""--"",""685"""
"Unintentional,""2020"",""15 to 19"",""Males"",""141"",""242,690"",""58.10"",""--"",""6,708"""
"Unintentional,""2020"",""15 to 19"",""Females"",""44"",""230,219"",""19.11"",""--"",""2,091"""
"Unintentional,""2020"",""20 to 24"",""Males"",""301"",""249,270"",""120.75"",""--"",""12,898"""
"Unintentional,""2020"",""20 to 24"",""Females"",""78"",""233,315"",""33.43"",""--"",""3,350"""
"Unintentional,""2020"",""25 to 29"",""Males"",""348"",""258,627"",""134.56"",""--"",""13,195"""
"Unintentional,""2020"",""25 to 29"",""Females"",""109"",""240,805"",""45.27"",""--"",""4,135"""
"Unintentional,""2020"",""30 to 34"",""Males"",""350"",""249,591"",""140.23"",""--"",""11,558"""
"Unintentional,""2020"",""30 to 34"",""Females"",""120"",""232,534"",""51.61"",""--"",""3,971"""
"Unintentional,""2020"",""35 to 39"",""Males"",""317"",""238,354"",""133.00"",""--"",""8,894"""
"Unintentional,""2020"",""35 to 39"",""Females"",""116"",""224,491"",""51.67"",""--"",""3,283"""
"Unintentional,""2020"",""40 to 44"",""Males"",""249"",""219,479"",""113.45"",""--"",""5,763"""
"Unintentional,""2020"",""40 to 44"",""Females"",""94"",""212,549"",""44.23"",""--"",""2,174"""
"Unintentional,""2020"",""45 to 49"",""Males"",""242"",""213,312"",""113.45"",""--"",""4,323"""
"Unintentional,""2020"",""45 to 49"",""Females"",""83"",""210,619"",""39.41"",""--"",""1,488"""
"Unintentional,""2020"",""50 to 54"",""Males"",""276"",""210,008"",""131.42"",""--"",""3,604"""
"Unintentional,""2020"",""50 to 54"",""Females"",""104"",""209,634"",""49.61"",""--"",""1,350"""
"Unintentional,""2020"",""55 to 59"",""Males"",""288"",""217,440"",""132.45"",""--"",""2,274"""
"Unintentional,""2020"",""55 to 59"",""Females"",""119"",""225,647"",""52.74"",""--"",""912"""
"Unintentional,""2020"",""60 to 64"",""Males"",""261"",""209,681"",""124.48"",""--"",""785"""
"Unintentional,""2020"",""60 to 64"",""Females"",""107"",""227,980"",""46.93"",""--"",""365"""
"Unintentional,""2020"",""65 to 69"",""Males"",""181"",""189,583"",""95.47"",""--"",""0"""
"Unintentional,""2020"",""65 to 69"",""Females"",""78"",""214,656"",""36.34"",""--"",""0"""
"Unintentional,""2020"",""70 to 74"",""Males"",""147"",""170,973"",""85.98"",""--"",""0"""
"Unintentional,""2020"",""70 to 74"",""Females"",""72"",""191,180"",""37.66"",""--"",""0"""
"Unintentional,""2020"",""75 to 79"",""Males"",""133"",""118,274"",""112.45"",""--"",""0"""
"Unintentional,""2020"",""75 to 79"",""Females"",""108"",""133,688"",""80.79"",""--"",""0"""
"Unintentional,""2020"",""80 to 84"",""Males"",""143"",""72,644"",""196.85"",""--"",""0"""
"Unintentional,""2020"",""80 to 84"",""Females"",""115"",""83,743"",""137.33"",""--"",""0"""
"Unintentional,""2020"",""85+"",""Males"",""255"",""56,791"",""449.02"",""--"",""0"""
"Unintentional,""2020"",""85+"",""Females"",""324"",""80,027"",""404.86"",""--"",""0"""
"Unintentional,""2019"",""0 to 4"",""Males"",""24"",""218,959"",""10.96"",""--"",""1,533"""
"Unintentional,""2019"",""0 to 4"",""Females"",""22"",""210,151"",""10.47"",""--"",""1,397"""
"Unintentional,""2019"",""5 to 9"",""Males"",""--"",""231,541"",""--"",""--"",""--"""
"Unintentional,""2019"",""5 to 9"",""Females"",""--"",""222,477"",""--"",""--"",""--"""
"Unintentional,""2019"",""10 to 14"",""Males"",""13**"",""243,657"",""5.34**"",""--"",""679"""
"Unintentional,""2019"",""10 to 14"",""Females"",""--"",""234,567"",""--"",""--"",""--"""
"Unintentional,""2019"",""15 to 19"",""Males"",""103"",""245,440"",""41.97"",""--"",""4,873"""
"Unintentional,""2019"",""15 to 19"",""Females"",""42"",""234,125"",""17.94"",""--"",""1,993"""
"Unintentional,""2019"",""20 to 24"",""Males"",""230"",""257,034"",""89.48"",""--"",""9,879"""
"Unintentional,""2019"",""20 to 24"",""Females"",""75"",""239,926"",""31.26"",""--"",""3,208"""
"Unintentional,""2019"",""25 to 29"",""Males"",""250"",""274,139"",""91.20"",""--"",""9,487"""
"Unintentional,""2019"",""25 to 29"",""Females"",""75"",""253,106"",""29.63"",""--"",""2,835"""
"Unintentional,""2019"",""30 to 34"",""Males"",""215"",""249,827"",""86.06"",""--"",""7,142"""
"Unintentional,""2019"",""30 to 34"",""Females"",""70"",""232,649"",""30.09"",""--"",""2,299"""
"Unintentional,""2019"",""35 to 39"",""Males"",""263"",""238,495"",""110.28"",""--"",""7,430"""
"Unintentional,""2019"",""35 to 39"",""Females"",""84"",""229,018"",""36.68"",""--"",""2,359"""
"Unintentional,""2019"",""40 to 44"",""Males"",""196"",""215,569"",""90.92"",""--"",""4,524"""
"Unintentional,""2019"",""40 to 44"",""Females"",""67"",""213,403"",""31.40"",""--"",""1,547"""
"Unintentional,""2019"",""45 to 49"",""Males"",""194"",""215,421"",""90.06"",""--"",""3,459"""
"Unintentional,""2019"",""45 to 49"",""Females"",""81"",""217,630"",""37.22"",""--"",""1,439"""
"Unintentional,""2019"",""50 to 54"",""Males"",""226"",""206,772"",""109.30"",""--"",""2,949"""
"Unintentional,""2019"",""50 to 54"",""Females"",""76"",""211,827"",""35.88"",""--"",""984"""
"Unintentional,""2019"",""55 to 59"",""Males"",""256"",""216,293"",""118.36"",""--"",""2,048"""
"Unintentional,""2019"",""55 to 59"",""Females"",""99"",""230,465"",""42.96"",""--"",""772"""
"Unintentional,""2019"",""60 to 64"",""Males"",""217"",""204,086"",""106.33"",""--"",""659"""
"Unintentional,""2019"",""60 to 64"",""Females"",""89"",""229,478"",""38.78"",""--"",""270"""
"Unintentional,""2019"",""65 to 69"",""Males"",""170"",""184,808"",""91.99"",""--"",""0"""
"Unintentional,""2019"",""65 to 69"",""Females"",""62"",""214,430"",""28.91"",""--"",""0"""
"Unintentional,""2019"",""70 to 74"",""Males"",""131"",""166,440"",""78.71"",""--"",""0"""
"Unintentional,""2019"",""70 to 74"",""Females"",""68"",""188,636"",""36.05"",""--"",""0"""
"Unintentional,""2019"",""75 to 79"",""Males"",""147"",""118,458"",""124.10"",""--"",""0"""
"Unintentional,""2019"",""75 to 79"",""Females"",""97"",""135,655"",""71.51"",""--"",""0"""
"Unintentional,""2019"",""80 to 84"",""Males"",""159"",""74,207"",""214.27"",""--"",""0"""
"Unintentional,""2019"",""80 to 84"",""Females"",""112"",""85,411"",""131.13"",""--"",""0"""
"Unintentional,""2019"",""85+"",""Males"",""262"",""61,656"",""424.94"",""--"",""0"""
"Unintentional,""2019"",""85+"",""Females"",""361"",""86,087"",""419.34"",""--"",""0"""
"Unintentional,""2018"",""0 to 4"",""Males"",""40"",""220,397"",""18.15"",""--"",""2,533"""
"Unintentional,""2018"",""0 to 4"",""Females"",""14**"",""211,888"",""6.61**"",""--"",""893"""
"Unintentional,""2018"",""5 to 9"",""Males"",""10**"",""229,945"",""4.35**"",""--"",""589"""
"Unintentional,""2018"",""5 to 9"",""Females"",""--"",""221,358"",""--"",""--"",""--"""
"Unintentional,""2018"",""10 to 14"",""Males"",""12**"",""242,809"",""4.94**"",""--"",""632"""
"Unintentional,""2018"",""10 to 14"",""Females"",""--"",""233,681"",""--"",""--"",""--"""
"Unintentional,""2018"",""15 to 19"",""Males"",""78"",""242,386"",""32.18"",""--"",""3,692"""
"Unintentional,""2018"",""15 to 19"",""Females"",""48"",""231,555"",""20.73"",""--"",""2,276"""
"Unintentional,""2018"",""20 to 24"",""Males"",""203"",""256,027"",""79.29"",""--"",""8,753"""
"Unintentional,""2018"",""20 to 24"",""Females"",""64"",""236,402"",""27.07"",""--"",""2,754"""
"Unintentional,""2018"",""25 to 29"",""Males"",""235"",""268,889"",""87.40"",""--"",""8,934"""
"Unintentional,""2018"",""25 to 29"",""Females"",""71"",""248,869"",""28.53"",""--"",""2,713"""
"Unintentional,""2018"",""30 to 34"",""Males"",""217"",""242,040"",""89.66"",""--"",""7,157"""
"Unintentional,""2018"",""30 to 34"",""Females"",""72"",""225,892"",""31.87"",""--"",""2,355"""
"Unintentional,""2018"",""35 to 39"",""Males"",""223"",""233,543"",""95.49"",""--"",""6,279"""
"Unintentional,""2018"",""35 to 39"",""Females"",""79"",""224,917"",""35.12"",""--"",""2,218"""
"Unintentional,""2018"",""40 to 44"",""Males"",""160"",""211,453"",""75.67"",""--"",""3,688"""
"Unintentional,""2018"",""40 to 44"",""Females"",""61"",""209,774"",""29.08"",""--"",""1,409"""
"Unintentional,""2018"",""45 to 49"",""Males"",""173"",""214,908"",""80.50"",""--"",""3,120"""
"Unintentional,""2018"",""45 to 49"",""Females"",""81"",""216,204"",""37.47"",""--"",""1,443"""
"Unintentional,""2018"",""50 to 54"",""Males"",""207"",""205,773"",""100.60"",""--"",""2,645"""
"Unintentional,""2018"",""50 to 54"",""Females"",""78"",""212,183"",""36.76"",""--"",""996"""
"Unintentional,""2018"",""55 to 59"",""Males"",""219"",""213,445"",""102.60"",""--"",""1,782"""
"Unintentional,""2018"",""55 to 59"",""Females"",""97"",""227,767"",""42.59"",""--"",""766"""
"Unintentional,""2018"",""60 to 64"",""Males"",""200"",""198,721"",""100.64"",""--"",""642"""
"Unintentional,""2018"",""60 to 64"",""Females"",""73"",""224,349"",""32.54"",""--"",""238"""
